airport,runways,city_name
ABE,2,"Allentown/Bethlehem/Easton, PA"
ABI,3,"Abilene, TX"
ABQ,4,"Albuquerque, NM"
ABR,2,"Aberdeen, SD"
ABY,2,"Albany, GA"
ACK,3,"Nantucket, MA"
ACT,2,"Waco, TX"
ACV,2,"Arcata/Eureka, CA"
ACY,2,"Atlantic City, NJ"
ADK,2,"Adak Island, AK"
ADQ,3,"Kodiak, AK"
AEX,2,"Alexandria, LA"
AGS,2,"Augusta, GA"
ALB,2,"Albany, NY"
ALO,3,"Waterloo, IA"
ALW,3,"Walla Walla, WA"
AMA,2,"Amarillo, TX"
ANC,3,"Anchorage, AK"
APN,2,"Alpena, MI"
ART,2,"Watertown, NY"
ASE,1,"Aspen, CO"
ATL,5,"Atlanta, GA"
ATW,2,"Appleton, WI"
AUS,2,"Austin, TX"
AVL,1,"Asheville, NC"
AVP,2,"Scranton/Wilkes-Barre, PA"
AZA,3,"Phoenix, AZ"
AZO,3,"Kalamazoo, MI"
BDL,3,"Hartford, CT"
BET,3,"Bethel, AK"
BFF,2,"Scottsbluff, NE"
BFL,2,"Bakersfield, CA"
BGM,2,"Binghamton, NY"
BGR,1,"Bangor, ME"
BHM,2,"Birmingham, AL"
BIL,3,"Billings, MT"
BIS,2,"Bismarck/Mandan, ND"
BJI,2,"Bemidji, MN"
BLI,1,"Bellingham, WA"
BLV,2,"Belleville, IL"
BMI,3,"Bloomington/Normal, IL"
BNA,4,"Nashville, TN"
BOI,3,"Boise, ID"
BOS,6,"Boston, MA"
BPT,2,"Beaumont/Port Arthur, TX"
BQK,1,"Brunswick, GA"
BQN,1,"Aguadilla, PR"
BRD,4,"Brainerd, MN"
BRO,3,"Brownsville, TX"
BRW,1,"Barrow, AK"
BTM,3,"Butte, MT"
BTR,3,"Baton Rouge, LA"
BTV,2,"Burlington, VT"
BUF,2,"Buffalo, NY"
BUR,2,"Burbank, CA"
BWI,4,"Baltimore, MD"
BZN,3,"Bozeman, MT"
CAE,2,"Columbia, SC"
CAK,3,"Akron, OH"
CDC,2,"Cedar City, UT"
CDV,2,"Cordova, AK"
CGI,2,"Cape Girardeau, MO"
CHA,2,"Chattanooga, TN"
CHO,1,"Charlottesville, VA"
CHS,2,"Charleston, SC"
CID,2,"Cedar Rapids/Iowa City, IA"
CIU,2,"Sault Ste. Marie, MI"
CKB,1,"Clarksburg/Fairmont, WV"
CLE,4,"Cleveland, OH"
CLL,3,"College Station/Bryan, TX"
CLT,4,"Charlotte, NC"
CMH,2,"Columbus, OH"
CMI,4,"Champaign/Urbana, IL"
CMX,2,"Hancock/Houghton, MI"
CNY,1,"Moab, UT"
COD,1,"Cody, WY"
COS,3,"Colorado Springs, CO"
COU,2,"Columbia, MO"
CPR,4,"Casper, WY"
CRP,2,"Corpus Christi, TX"
CRW,2,"Charleston/Dunbar, WV"
CSG,2,"Columbus, GA"
CVG,4,"Cincinnati, OH"
CWA,2,"Mosinee, WI"
DAB,3,"Daytona Beach, FL"
DAL,3,"Dallas, TX"
DAY,3,"Dayton, OH"
DBQ,2,"Dubuque, IA"
DCA,3,"Washington, DC"
DEN,6,"Denver, CO"
DFW,7,"Dallas/Fort Worth, TX"
DHN,2,"Dothan, AL"
DIK,2,"Dickinson, ND"
DLH,2,"Duluth, MN"
DRO,1,"Durango, CO"
DSM,2,"Des Moines, IA"
DTW,6,"Detroit, MI"
DUT,1,"Unalaska, AK"
DVL,2,"Devils Lake, ND"
EAT,2,"Wenatchee, WA"
EAU,2,"Eau Claire, WI"
ECP,1,"Panama City, FL"
EGE,2,"Eagle, CO"
EKO,2,"Elko, NV"
ELM,3,"Elmira/Corning, NY"
ELP,3,"El Paso, TX"
ERI,2,"Erie, PA"
ESC,2,"Escanaba, MI"
EUG,3,"Eugene, OR"
EVV,3,"Evansville, IN"
EWN,2,"New Bern/Morehead/Beaufort, NC"
EWR,3,"Newark, NJ"
EYW,1,"Key West, FL"
FAI,4,"Fairbanks, AK"
FAR,3,"Fargo, ND"
FAT,2,"Fresno, CA"
FAY,2,"Fayetteville, NC"
FCA,3,"Kalispell, MT"
FLG,1,"Flagstaff, AZ"
FLL,3,"Fort Lauderdale, FL"
FLO,2,"Florence, SC"
FNT,2,"Flint, MI"
FSD,3,"Sioux Falls, SD"
FSM,2,"Fort Smith, AR"
FWA,3,"Fort Wayne, IN"
GCC,2,"Gillette, WY"
GCK,2,"Garden City, KS"
GEG,2,"Spokane, WA"
GFK,4,"Grand Forks, ND"
GGG,2,"Longview, TX"
GJT,2,"Grand Junction, CO"
GNV,2,"Gainesville, FL"
GPT,3,"Gulfport/Biloxi, MS"
GRB,3,"Green Bay, WI"
GRI,2,"Grand Island, NE"
GRK,1,"Killeen, TX"
GRR,3,"Grand Rapids, MI"
GSO,3,"Greensboro/High Point, NC"
GSP,1,"Greer, SC"
GTF,3,"Great Falls, MT"
GTR,1,"Columbus, MS"
GUC,2,"Gunnison, CO"
GUM,2,"Guam, TT"
HDN,1,"Hayden, CO"
HGR,2,"Hagerstown, MD"
HHH,1,"Hilton Head, SC"
HIB,2,"Hibbing, MN"
HLN,3,"Helena, MT"
HNL,6,"Honolulu, HI"
HOB,3,"Hobbs, NM"
HOU,4,"Houston, TX"
HPN,2,"White Plains, NY"
HRL,3,"Harlingen/San Benito, TX"
HSV,2,"Huntsville, AL"
HTS,2,"Ashland, WV"
HVN,2,"New Haven, CT"
HYA,2,"Hyannis, MA"
HYS,2,"Hays, KS"
IAD,4,"Washington, DC"
IAG,3,"Niagara Falls, NY"
IAH,5,"Houston, TX"
ICT,3,"Wichita, KS"
IDA,2,"Idaho Falls, ID"
ILM,2,"Wilmington, NC"
IMT,2,"Iron Mountain/Kingsfd, MI"
IND,3,"Indianapolis, IN"
INL,2,"International Falls, MN"
IPT,2,"Williamsport, PA"
ISN,2,"Williston, ND"
ISP,4,"Islip, NY"
ITH,2,"Ithaca/Cortland, NY"
ITO,2,"Hilo, HI"
JAC,1,"Jackson, WY"
JAN,2,"Jackson/Vicksburg, MS"
JAX,2,"Jacksonville, FL"
JFK,4,"New York, NY"
JHM,1,"Kapalua, HI"
JLN,3,"Joplin, MO"
JMS,2,"Jamestown, ND"
JNU,2,"Juneau, AK"
KOA,1,"Kona, HI"
KTN,2,"Ketchikan, AK"
LAN,3,"Lansing, MI"
LAR,2,"Laramie, WY"
LAS,4,"Las Vegas, NV"
