tail_number,model,year_built,type,passengers,engines,engine_type
N639CZ,Embraer 175LR,2008.0,Fixed wing multi engine,80.0,2.0,Turbofan
N603CZ,Embraer 175LR,2007.0,Fixed wing multi engine,80.0,2.0,Turbofan
N613CZ,Embraer 175LR,2008.0,Fixed wing multi engine,80.0,2.0,Turbofan
N634CZ,Embraer 175LR,2008.0,Fixed wing multi engine,80.0,2.0,Turbofan
N621CZ,Embraer 175LR,2008.0,Fixed wing multi engine,88.0,2.0,Turbofan
N635CZ,Embraer 175LR,2008.0,Fixed wing multi engine,80.0,2.0,Turbofan
N604CZ,Embraer 175LR,2007.0,Fixed wing multi engine,80.0,2.0,Turbofan
N610CZ,Embraer 175LR,2007.0,Fixed wing multi engine,80.0,2.0,Turbofan
N606CZ,Embraer 175LR,2007.0,Fixed wing multi engine,80.0,2.0,Turbofan
N619CZ,Embraer 175LR,2008.0,Fixed wing multi engine,88.0,2.0,Turbofan
N612CZ,Embraer 175LR,2007.0,Fixed wing multi engine,80.0,2.0,Turbofan
N602CZ,Embraer 175LR,2007.0,Fixed wing multi engine,80.0,2.0,Turbofan
N625CZ,Embraer 175LR,2008.0,Fixed wing multi engine,80.0,2.0,Turbofan
N605CZ,Embraer 175LR,2007.0,Fixed wing multi engine,80.0,2.0,Turbofan
N616CZ,Embraer 175LR,2008.0,Fixed wing multi engine,80.0,2.0,Turbofan
N637CZ,Embraer 175LR,0.0,Fixed wing multi engine,80.0,2.0,Turbofan
N627CZ,Embraer 175LR,2008.0,Fixed wing multi engine,80.0,2.0,Turbofan
N636CZ,Embraer 175LR,0.0,Fixed wing multi engine,80.0,2.0,Turbofan
N614CZ,Embraer 175LR,2008.0,Fixed wing multi engine,80.0,2.0,Turbofan
N620CZ,Embraer 175LR,2008.0,Fixed wing multi engine,88.0,2.0,Turbofan
N633CZ,Embraer 175LR,2008.0,Fixed wing multi engine,80.0,2.0,Turbofan
N622CZ,Embraer 175LR,2008.0,Fixed wing multi engine,80.0,2.0,Turbofan
N608CZ,Embraer 175LR,2007.0,Fixed wing multi engine,88.0,2.0,Turbofan
N632CZ,Embraer 175LR,2008.0,Fixed wing multi engine,80.0,2.0,Turbofan
N615CZ,Embraer 175LR,2008.0,Fixed wing multi engine,80.0,2.0,Turbofan
N629CZ,Embraer 175LR,2008.0,Fixed wing multi engine,80.0,2.0,Turbofan
N609CZ,Embraer 175LR,2007.0,Fixed wing multi engine,88.0,2.0,Turbofan
N624CZ,Embraer 175LR,2008.0,Fixed wing multi engine,80.0,2.0,Turbofan
N631CZ,Embraer 175LR,2008.0,Fixed wing multi engine,80.0,2.0,Turbofan
N630CZ,Embraer 175LR,2008.0,Fixed wing multi engine,80.0,2.0,Turbofan
N617CZ,Embraer 175LR,2008.0,Fixed wing multi engine,88.0,2.0,Turbofan
N628CZ,Embraer 175LR,2008.0,Fixed wing multi engine,88.0,2.0,Turbofan
N659CA,Bombardier CRJ-700,2004.0,Fixed wing multi engine,22.0,2.0,Turbofan
N183GJ,Bombardier CRJ-900ER,0.0,Fixed wing multi engine,22.0,2.0,Turbofan
N656CA,Bombardier CRJ-700,2004.0,Fixed wing multi engine,22.0,2.0,Turbofan
N379CA,Bombardier CRJ-701ER,2003.0,Fixed wing multi engine,70.0,2.0,Turbofan
N184GJ,Bombardier CRJ-900,2008.0,Fixed wing multi engine,,2.0,Turbofan
N186GJ,Bombardier CRJ-900,2008.0,Fixed wing multi engine,,2.0,Turbofan
N182GJ,Bombardier CL-600-2D24,2008.0,Fixed wing multi engine,,2.0,Turbofan
N354CA,Bombardier CRJ-701ER,2002.0,Fixed wing multi engine,22.0,2.0,Turbofan
N369CA,Canadair CL-600-2C10,2003.0,Fixed wing multi engine,22.0,2.0,Turbofan
N340CA,Bombardier CRJ-701ER,2002.0,Fixed wing multi engine,22.0,2.0,Turbofan
N376CA,Bombardier CRJ-701ER,2003.0,Fixed wing multi engine,22.0,2.0,Turbofan
N317CA,Bombardier CRJ-701ER,2002.0,Fixed wing multi engine,22.0,2.0,Turbofan
N658CA,Bombardier CRJ-700,2004.0,Fixed wing multi engine,22.0,2.0,Turbofan
N378CA,Bombardier CRJ-701,2003.0,Fixed wing multi engine,22.0,2.0,Turbofan
N655CA,Bombardier CRJ-700,0.0,Fixed wing multi engine,22.0,2.0,Turbofan
N669CA,Bombardier CRJ-700,2004.0,Fixed wing multi engine,22.0,2.0,Turbofan
N690CA,Bombardier CRJ-700,0.0,Fixed wing multi engine,22.0,2.0,Turbofan
N367CA,Bombardier CRJ-701,2002.0,Fixed wing multi engine,22.0,2.0,Turbofan
N642CA,Bombardier CRJ-700,2003.0,Fixed wing multi engine,22.0,2.0,Turbofan
N368CA,Bombardier CRJ-700,2003.0,Fixed wing multi engine,22.0,2.0,Turbofan
N390CA,Bombardier CRJ-701ER,2003.0,Fixed wing multi engine,22.0,2.0,Turbofan
N187GJ,Bombardier CRJ-900LR,2008.0,Fixed wing multi engine,90.0,2.0,Turbofan
N181GJ,Bombardier CRJ-900,2008.0,Fixed wing multi engine,,2.0,Turbofan
N653CA,Bombardier CRJ-700,2003.0,Fixed wing multi engine,22.0,2.0,Turbofan
N355CA,Bombardier CRJ-701ER,2002.0,Fixed wing multi engine,22.0,2.0,Turbofan
N185GJ,Bombardier CRJ-900,2008.0,Fixed wing multi engine,90.0,2.0,Turbofan
N374CA,Bombardier CRJ-701,0.0,Fixed wing multi engine,22.0,2.0,Turbofan
N814SK,Bombardier CRJ-900ER,2006.0,Fixed wing multi engine,22.0,2.0,Turbofan
N716EV,Bombardier CRJ-701,2003.0,Fixed wing multi engine,22.0,2.0,Turbofan
N201FR,Airbus A320-214,2008.0,Fixed wing multi engine,182.0,2.0,Turbofan
N202FR,Airbus A320-214,2008.0,Fixed wing multi engine,182.0,2.0,Turbofan
